char,pinyin,division,code
𢃔,,巾火火,MXXj
𢃕,ta4,巾水日,MAKj
𢃖,,巾⺆土口,MSOj
𢃗,han4,巾乛水凵,MBAj
𢃙,,巾宀尸コ,MWDj
𢃚,,巾日比,MKVj
𢃜,zhi2,巾十{具上},MENj
𢃝,,上小又巾,LCMs
𢃞,,巾彐冖巾,MBMj
𢃟,,巾龷日,MHKj
𢃠,,巾囗夂⺀,MNZj
𢃡,,巾日⼓{两撇},MKSj
𢃢,se4,巾龶⺝,MESj
𢃣,,巾耳又,MHDj
𢃤,,戈口一巾,FOMg
𢃥,qian1,臣又巾,FDMe
𢃦,guo3,巾日木,MKIj
𢃧,,巾八厶心,MTRj
𢃨,,巾广矢,MWPj
𢃩,gun3,巾丷夫㔾,MXBj
𢃩,juan3,巾丷夫㔾,MXBj
𢃪,,木八厶巾,ITAM
𢃫,,巾匚大人人,MFUj
𢃬,jian1,䒑⺝刂巾,XSLM
𢃭,zhong1,巾⼓{两撇}丶心,MSRj
𢃮,mian3,巾面,MGmj
𢃯,gui3,巾癶一大,MDFj
𢃰,shi4,巾日一龰,MKLj
𢃱,mou2,巾卄二木,MHIj
𢃲,e4,巾革,MHgj
𢃳,ba3,彐冖巾巴,BQMD
𢃴,la4,木口刂巾,IOLM
𢃶,,巾龶母,MECj
𢃷,,山山巾巾,MMMM
𢃸,zhou4,巾禾火,MRXj
𢃹,,冂冂八夂巾,MMVM
𢃼,,巾𠃜目,MDNj
𢃽,,巾覀女,MECj
𢃿,,巾木囗丷,MIXj
𢄀,zao3,一冖巾一冖巾,GQQM
𢄁,,〢䒑䒑一巾,LXGM
𢄂,,且力亠巾,NCMq
𢄃,,巾氵𠂆{𠂢下},MZRj
𢄄,zha1,屮一巾且,AGMN
𢄅,yi4,巾戈一火,MFXj
𢄆,,䶹屮宀巾,AAWM
𢄇,gou3,白巾勹厶,UMAb
𢄈,,巾音,MYnj
𢄊,gui1,巾鬼,MUgj
𢄋,ying1,火火冖巾,XXQM
𢄌,shai3,巾㐅朩殳,MTQj
𢄍,ge2,巾土厶皿,MJMj
𢄍,he2,巾土厶皿,MJMj
𢄎,bang4,巾亠丷冖方,MYYj
𢄏,mo4,宀一龷八巾,WGTM
𢄐,meng2,巾冖一豕,MQGj
𢄑,,巾丷夫巾,MXMj
𢄒,,巾户羽,MZCj
𢄓,wu4,巾烏,MUwj
𢄔,dai4,𠂉卄一儿冖巾,PHQM
𢄗,jiong3,白巾冂口,UMOb
𢄘,,豕辶巾,GZMs
𢄙,,巾口貝,MONj
𢄚,,𦥑夕巾,UQMj
𢄜,han4,巾龴囗䒑十,MDEj
𢄝,,白巾勹巳,UMDb
𢄞,,米攵巾,XPMm
𢄟,tong1,巾龴用辶,MDZj
𢄠,kou1,巾匚口口口,MFOj
𢄡,li2,未攵厂巾,IPMw
𢄢,zhi4,土八土九丶巾,JTWM
𢄣,hui4,巾丰丰彐,MIBj
𢄤,zan3,車𠂆丅巾,JRMc
𢄥,,彐⺈巾彐巾,BQBM
𢄦,diao3,巾鳥,MUnj
𢄧,cu4,方𠂉矢巾,YPPM
𢄨,,巾宀一由八,MWTj
𢄩,,巾卄一儿冖巾,MHMj
𢄪,,巾羽𠆢彡,MCSj
𢄫,,亠丷冖巾匚コ,YXFD
𢄬,,十冖巾十冖巾,EQQM
𢄭,,巾羽白,MCUj
𢄮,,予冂人彡巾,BMMy
𢄯,,巾𠂉母攵,MPPj
𢄰,,巾夂丷土口,MVOj
𢄱,zhi4,巾車辶,MJZj
𢄲,,方𠂉乛龰巾,YPLM
𢄳,kua3,巾大耂日,MFKj
𢄴,,巾衣夕夕,MWQj
𢄵,xiang4,巾⺈口𧰨,MQRj
𢄶,hua4,巾彐土田一,MBGj
𢄷,liao2,巾大丷日小,MFCj
𢄸,cui4,巾日耳又,MKDj
𢄹,qiao1,巾夭口冂口,MROj
𢄺,jiao3,巾隹灬,MTXj
𢄻,,巾龷⺝攵,MHPj
𢄼,xu1,彡頁巾,SGMs
𢄽,er4,巾弋二貝,MFNj
𢄿,tuo1,十口冖石巾,EOGM
𢅀,tan2,巾覀早,MEKj
𢅁,zhi4,爫子白巾,VBUM
𢅂,,巾弓工工口,MDOj
𢅃,,巾癶一口丶几,MDQj
𢅄,,罒土厶𠂇巾,MJMw
𢅅,,巾厂䒑䶹欠,MGQj
𢅆,,巾艹日月,MHSj
𢅇,,山巾屮凵毛,MMAR
𢅈,nao3,亠巾亠巾亠巾,YMYM
𢅉,mao4,白巾白儿,UMVb
𢅊,di4,𠂉卌一灬巾,PHXM
𢅋,ceng2,巾丷𫩏丷日,MXKj
𢅌,,爫{爲下}巾,VSMj
𢅍,,士冖石大巾,JQFM
𢅎,jiao3,巾白方攵,MUPj
𢅏,lian2,巾广䒑⺕〢八,MWTj
𢅐,,巾僉,MUqj
𢅑,sha1,巾⺈彐攵灬,MQXj
𢅒,dan4,巾亠囗口日一,MYGj
𢅓,,艹罒戈巾,HMFM
𢅔,,巾艹耂日,MHKj
𢅕,sui4,巾䒑𧰨辶,MXZj
𢅖,lian2,巾立⼃⺕〢八,MYTj
𢅗,guo4,巾冎口辶,MNZj
𢅘,,巾艹罒冖几,MHQj
𢅙,,巾木冂貝,MINj
𢅚,biao1,巾覀示刂,MELj
𢅚,biao3,巾覀示刂,MELj
𢅛,,亠丷冖巾尤彡,YXJS
𢅜,ci4,彐冖巾彐冖巾,BQQM
𢅝,dian4,尸龷八殳巾,DHQM
𢅞,lv4,白巾⼹氺,UMAb
𢅟,ni3,巾匕矢龴乛龰,MVLj
𢅠,yan3,厂日⺝犬巾,GKMc
𢅡,lan2,巾臣{⺮右}皿,MFMj
𢅣,,巾士口冖至,MJFj
𢅤,gai4,巾艹土厶皿,MHMj
𢅥,chu2,巾厂士口䒑寸,MGIj
𢅦,,彐冖巾日一龰,BQGL
𢅧,,巾糹白巾,MAMj
𢅨,,日一龰彐冖巾,KGQM
𢅩,bi4,巾罒厶⺝匕匕,MMVj
𢅪,zu2,巾戊上小心,MFRj
𢅫,hui4,巾丰丰彐心,MIRj
𢅬,,白巾十{具上}八,UMTb
𢅭,lai3,巾木口⺈貝,MINj
𢅮,xian2,土八土火火巾,JTXM
𢅯,fen4,巾大隹田,MFKj
𢅰,he4,巾門臼儿,MNVj
𢅱,,巾弓工工口灬,MDXj
𢅲,,土䒑十火火巾,JXXM
𢅳,,巾立⼃䒑⺕〢八,MYTj
𢅴,,巾艹罒冖目,MHNj
𢅵,,巾𥫗罒戊,MPFj
𢅶,,巾𥫗囗人戈𠄌,MPCj
𢅷,,艹丷巾八攵巾,HXPM
𢅸,,僉攵巾,UPMq
𢅹,yao4,巾人一口口口𠕁,MUMj
𢅺,zhan3,彐土曰广卄一巾,BJGM
𢅻,,巾隹隹又,MTDj
𢅼,nei2,巾頁止巳八夊,MGVj
𢅽,,巾𦥑{囟框}㐅一火,MUXj
𢅾,luo3,巾罒糹隹,MMTj
𢅿,,巾大卄一木卄一木,MFIj
𢆀,yuan2,巾囗口貝𠆢王,MNEj
𢆁,,巾𥫗广䒑⺕〢八,MPTj
𢆂,neng2,巾立⺝人一⺝刂刂,MYLj
𢆃,,巾䒑自止巳八夊,MXVj
𢆄,,巾艹門木囗丷,MHXj
𢆅,,彐土曰艹日大巾,BJFM
𢆆,,巾艹止目巳八夊,MHVj
𢆇,,白癶巾士冖石木,UDIb
𢆉,ren3,䒑十,XEu
𢆊,,干丷丁,EXEg
𢆋,,厶儿干,AVEi
𢆌,,⺊厂干,LGEg
𢆍,,千日,RKvq
𢆎,,大丷干,FXEd
𢆐,,𠂇キ干,HFEg
𢆑,,人人人干,UUUE
𢆒,,上干干,LEEs
𢆓,,不干丷,GEXb
𢆔,,口口干,OOEg
𢆕,,干丷𠂆又,EXDg
𢆖,,一{五下}口干,GDOE
𢆗,,䒑廾コ十,XHDE
𢆘,,𠂉ヰ欠,PFQq
𢆙,,刀刀干干,DDEd
𢆚,,一廾木口,GHIO
𢆜,ge2,日勹人𠃊干,KSCE
𢆝,,日一龰干,KGLE
𢆞,jian3,干干木口,EEOg
𢆠,,來干丷,IEXl
𢆡,,爫子乚𠂉ヰ,VBPF
𢆢,,夕匚コ䒑廾,QFHx
𢆣,bie4,䒑廾亠亻夂丶,XHVW
𢆤,,丷夫㔾𠂉ヰ,XJPF
𢆥,,十冂䒑十𠂉ヰ,EMPF
𢆦,jian4,罒干木日,MEKw
𢆧,,土䒑十木攵,JXIP
𢆩,bing4,⺈丶匚コ㇒干㇒干,QWPE
𢆪,,土䒑十土甲二,JXKE
𢆭,,巛囗㐅𠄌{四点}𠄌㇂𠂉ヰ,CNFc
𢆮,,干丷艹戈爿臣,EXFg
𢆯,mi4,幺丨,AKuy
𢆯,xuan2,幺丨,AKuy
𢆰,hu4,一幺,GAy
𢆱,,𠃌幺,BAy
𢆲,,幺力,ACly
𢆳,,幺了,ABly
𢆵,,幺𠃌㇀,ABGy
𢆶,you1,幺幺,AAyy
𢆶,zi1,幺幺,AAyy
𢆷,miao4,幺𡭔㇒,ACPy
𢆷,yao1,幺𡭔㇒,ACPy
𢆹,,幺二厶,AEAy
𢆻,dui4,幺幺几,AAQy
𢆻,ji1,幺幺几,AAQy
𢆼,,幺幺又,AADy
𢆽,yao1,幺丨𡭔㇒,AKPy
𢆾,,㇒幺㇒幺,PAPA
𢆿,,{囟框}㐅幺,UTAy
𢇀,,幺尸工,ADIy
𢇁,,幺幺灬,AAXy
𢇂,,幺幺廾,AAHy
𢇃,,幺八幺八,ATTy
𢇄,,幺氵𡭔㇒,AZPy
𢇅,,幺幺卝,AAHy
𢇆,,{囟框}㐅幺丨,UTAK
𢇇,guan1,幺幺丱,AAAy
𢇈,yan4,幺幺大丷,AAXy
𢇉,,幺𠃌文寸,ABIy
𢇊,,刀口阝幺丨,DOKd
𢇋,,幺丨日勹人𠃊,AKCy
𢇌,,彳止龰幺,SLAr
𢇍,,幺幺一幺幺𠃎,AABy
𢇎,,幺扌大丁口,AFOy
𢇏,,爫爪幺幺,VRAA
𢇐,,幺⺈口𧰨,AQRy
𢇑,,山幺幺幺幺,MAAA
𢇒,,幺幺戈人⺊乙,AABy
𢇓,,幺幺戈人𠂉乙,AABy
𢇔,,幺力日亠口小,ACCy
𢇕,chi3,山幺幺山幺幺,MAAA
𢇗,sha4,广丅丶,WJWg
𢇘,yan3,广女,WCvg
𢇙,yi4,广弋,WFig
𢇚,yi4,广也,WBeg
𢇛,che4,广干,WEgg
𢇛,chi3,广干,WEgg
𢇜,,广亠𠃊,WYCg
𢇝,,广幺,WAyg
𢇞,han4,广口,WOvg
𢇟,huang1,广兀,WGwg
𢇠,,广⼃七,WPFg
𢇡,,广一丂,WGEg
𢇢,,广山,WMvg
𢇣,,广欠,WQqg
𢇤,shui4,广水,WAsg
𢇥,sui4,广九十,WREg
𢇦,ren2,广壬,WRrg
𢇧,tan2,广冖儿,WQVg
𢇨,zhi3,广一幺,WGAg
𢇩,,广一廾,WGHg
𢇫,feng3,广㇒之,WPZg
𢇬,,广𠂇又,WHDg
𢇮,,广攴,WLpg
𢇯,,广亻又,WTDg
𢇰,tan2,广厶儿,WAVg
𢇱,,广八丂,WTEg
𢇲,mi2,广禾,WRvg
𢇳,pi2,广皮,WDpg
𢇴,bu4,广𠂇巾,WHMg
𢇵,na4,广囗又,WNDg
𢇶,tian2,广田,WKtg
𢇸,yi4,广世,WHsg
𢇹,,广亻工,WTIg
𢇺,,广冂口,WMOg
𢇻,,广矢,WPig
𢇼,,广{卬左}七乚,WVCg
𢇽,,广士又,WJDg
𢇾,,广卄二,WHEg
𢇿,,广屮凵,WAAg
𢈀,,广〢䒑,WLXg
𢈁,,广𠆢口,WUOg
𢈂,yan3,广尸コ,WDDg
𢈃,,广山匕,WMVg
𢈄,tiao1,广亻⼃七,WTFg
𢈅,,广瓜,WRgg
𢈆,yao2,广刀口,WDOg
𢈇,shen3,广𠂒儿,WPVg
𢈈,ke1,广人一口,WUOg
𢈈,wa1,广人一口,WUOg
𢈉,tong2,广冂一口,WMOg
𢈊,,广缶,WPfg
𢈋,xuan3,广厶⺝,WASg
𢈌,,广⺈厂㔾,WQBg
𢈍,,广米,WXmg
𢈎,,广龷八,WHTg
𢈐,,广龷几,WHQg
𢈑,,广九八刀,WRDg
𢈒,,广艹乂,WHTg
𢈓,you4,广𠂇⺝,WHSg
𢈔,,广日乂,WKTg
𢈕,bai4,广𠂆{𠂢下},WRRg
𢈖,,广王冂,WEMg
𢈗,,广口乂乚,WOCg
𢈙,xia2,广大人人,WFUg
𢈛,kun4,广囗木,WNIg
𢈜,zang1,广爿士,WAJg
𢈝,qiu2,广一氺丶,WGWg
𢈞,,广⺊囗コ,WLDg
𢈟,,广厶矢,WAPg
𢈠,cu4,广木口,WIOg
𢈠,la4,广木口,WIOg
𢈡,zui1,广厶八夊,WAVg
𢈢,lou3,广口口丨,WOKg
𢈣,,广{囟框}夊,WUVg
𢈤,xia2,广七甲,WFKg
𢈥,,广見,WNjg
𢈦,,广夂丰,WVIg
𢈧,,广丬十又,WXDg
𢈨,,广止𣥂,WLNg
𢈩,,广走,WJzg
𢈪,,广一{五下}口,WGOg
𢈫,,广辰,WGng
𢈬,,广十目,WENg
𢈭,,广⺌⺝,WNSg
𢈮,,广口丄八,WOTg
𢈯,shen1,广身,WTsg
𢈰,,广⺕人十,WBEg
𢈱,,广禾刂,WRLg
𢈲,pu2,广日子,WKBg
𢈳,,广八厶心,WTRg
𢈴,jing1,广亠口小,WYCg
𢈵,qiang1,广穴工,WWIg
𢈷,,广田丌,WKHg
𢈸,nie4,广𠆢丶乛心,WURg
𢈹,dui1,广𠂤十,WUEg
𢈹,tui2,广𠂤十,WUEg
𢈺,,广亠囗口,WYOg
𢈻,jie2,广一⺕龰,WGLg
𢈼,sui4,广亠人人十,WYEg
𢈽,zhan4,广戈戈,WFFg
𢈾,cou1,广耳又,WHDg
𢈿,,广戈口一,WFGg
𢉀,,广雨,WJyg
𢉁,beng1,广月月,WSSg
𢉂,guan1,广宀尸コ,WWDg
𢉃,she3,广𠆢干口,WUOg
𢉄,,广𠆢丶乛欠,WUQg
𢉅,jin4,广金,WVvg
𢉆,di4,广⺕キ廴,WBBg
𢉇,,广夭龰,WRLg
𢉈,,广士口凵,WJAg
𢉉,,广大丷土,WFJg
𢉋,,广丰月,WISg
𢉌,,广上小又,WLDg
𢉍,,广止灬,WLXg
𢉎,,广爿十又,WADg
𢉏,,广爫𠂇又,WVDg
𢉐,,广毛灬,WRXg
𢉑,dan1,广龶⺝,WESg
𢉒,,广⺌冂口,WNOg
𢉓,nai3,广𠂉一止乚,WPCg
𢉕,nou2,广⺈口儿丶,WQWg
𢉖,,{鹿上}厶厶,WAAl
𢉗,ji2,广了口又一,WBGg
𢉘,yan2,广火火,WXXg
𢉙,,广卄一火,WHXg
𢉚,nou4,广爫子乚,WVCg
𢉛,,广⼓{两撇}丶心,WSRg
𢉜,du4,广耂日,WJKg
𢉜,tu2,广耂日,WJKg
𢉝,wei4,广田{畏下},WKFg
𢉟,,广彳艮,WSBg
𢉠,,广㇒虫冂,WPMg
𢉡,,广亻厶矢,WTPg
𢉢,hu2,广古月,WJSg
𢉣,,广亻口木,WTIg
𢉤,jia4,广力口木,WCIg
𢉥,ye4,广日勹人𠃊,WKCg
𢉦,jun3,广冖車,WQJg
𢉧,lan2,广艹目,WHNg
𢉧,lian2,广艹目,WHNg
𢉨,la4,广木口刂,WILg
𢉩,yin1,广音,WYng
𢉪,,广止匕木,WLIg
𢉫,,广コ木口,WDOg
𢉬,,广覀土,WEJg
𢉭,tui2,广䒑𧰨,WXRg
𢉮,,广其𠃊,WHCg
𢉯,,广七貝,WFNg
𢉰,,广口口土,WOJg
𢉱,,广龷田,WHKg
𢉳,,广艹𠂇口,WHOg
𢉴,,广日一龰,WKLg
𢉵,nao3,广山山山,WMMg
𢉶,,广亻寸一大,WTFg
𢉷,,广丷酉,WXEg
𢉸,,广忄𠂇火,WUXg
𢉹,,广宀龴木,WWIg
𢉺,zu3,{鹿上}且,WNql
𢉻,,{鹿上}力口,WCOl
𢉼,,广⺕人⺝,WBSg
𢉽,,广木古,WIJg
𢉾,,广山幺幺,WMAg
𢉿,ma4,广馬,WEmg
𢊁,zhi4,{鹿上}勹灬,WSXl
𢊂,,广龶囗口,WEOg
𢊃,,广大人人土,WFJg
𢊄,hui1,广隹又,WTDg
𢊅,zhui4,广𠂤辶,WUZg
𢊆,,广禾禾,WRRg
𢊇,hui4,{鹿上}衣,WWyl
𢊈,,广宀八𠆢夕,WWQg
𢊉,,广𡈼囗口,WROg
𢊊,,广大丷电,WFKg
𢊋,,广一龷八夊,WGVg
𢊌,,广冫{飞右}人⺝,WXSg
𢊍,chu2,广一口䒑寸,WGIg
𢊎,,广非人,WLUg
𢊏,che4,广丰刀手,WIRg
𢊐,,广𠂆虍人,WRUg
𢊑,,广龷㇒用,WHSg
𢊒,xiu1,广亻木灬,WTXg
𢊓,lan2,广小小日,WCKg
𢊔,,广⺈冂𧰨,WQRg
𢊕,cong1,广{囟框}夊心,WURg
𢊖,shen4,广氵冖八木,WZIg
𢊗,mo4,广艹日大,WHFg
𢊘,yi1,广匚矢殳,WFQg
𢊙,yao2,广儿冫{飞右}勹口,WVOg
𢊚,xi3,广彳止龰,WSLg
𢊛,zui3,广山隹,WMTg
𢊜,bing4,广弓長,WDEg
𢊝,,广䶹火火,WAXg
𢊞,,广羽𠆢山,WCMg
𢊡,,广不見,WGNg
𢊣,,广覀示,WEFg
𢊤,,广罒一𠂇又丶,WMWg
𢊥,,广⺌冖口巾,WNMg
𢊦,,广八𠆢口欠,WTQg
𢊧,yu2,广魚,WQvg
𢊨,,广女又糸,WCAg
𢊩,lu4,广厶罒比,WAVg
𢊪,,广⺕人米,WBXg
𢊫,,广土立口,WJOg
𢊬,,广囗口示,WNFg
𢊭,,广丷夫衣,WXWg
𢊮,tui2,广口丄貝,WONg
𢊯,wei3,广爫{爲下},WVSg
𢊰,,广龷⺝攵,WHPg
𢊱,fen2,广十廾貝,WENg
𢊲,shen3,广木木木,WIIg
𢊳,,广止匕木口,WLOg
𢊴,,广人一口口口,WUOg
𢊵,,广白田丨十,WUEg
𢊶,,麻⺼,WSvm
𢊷,,广一夫貝,WGNg
𢊸,,广囗〢二禾,WNRg
𢊹,,广厶大貝,WANg
𢊺,,广丌匚コ田,WHKg
𢊻,liao2,广臼人小,WUCg
𢊼,,广彡頁,WSGg
𢊽,,广火火火,WXXg
𢊾,,广亻寸貝,WTNg
𢊿,,广人人罒夊,WUVg
𢋀,,广止匕言,WLYg
𢋁,,广⺊日匕殳,WLQg
𢋂,shu3,广日耂日,WKKg
𢋃,dan3,广亠囗口日一,WYGg
𢋄,juan3,广隹{雋下},WTMg
𢋅,yu2,广人一⺝刂欠,WUQg
𢋆,xin4,广音欠,WYQg
𢋇,yao2,广罒土䒑十,WMEg
𢋈,su1,广鱼禾,WQRg
𢋉,,广禾⺈小女,WRCg
𢋊,,广亠{纟上}⼃隹,WYTg
𢋋,,广彳山一几攵,WSPg
𢋌,,广人人口口夊,WUVg
𢋍,,广龷八貝,WHNg
𢋎,,广木木示,WIFg
𢋏,,广面木,WGIg
𢋑,,广𠂉卅歹ヰ,WPFg
𢋒,huo2,广艹隹又,WHDg
𢋓,,广卄一口人丷土,WHJg
𢋔,qian1,广大匚口口口,WFOg
𢋕,,广䒑囗口示,WXFg
𢋖,,广⺕丿口辛,WBYg
𢋗,,广亻隹火,WTXg
𢋘,,广糹隹,WATg
𢋙,,麻虫,WLvm
𢋚,ma2,麻冖⺝,WQSm
𢋛,,广鼻,WTbg
𢋜,,广白千虫,WULg
𢋝,kai3,广鬼木,WUIg
𢋞,,广𠆢丶龴頁,WUGg
𢋠,,亠丷冖巾广{卬左}七丶,YXFW
𢋡,lu3,广魚日,WQKg
𢋢,,广來一囗口,WIOg
𢋣,you1,广丆月冖心夊,WGVg
𢋤,,广木木心夊,WIVg
𢋥,,广亻𠤎鳥,WTUg
𢋦,,广土人人冂人人人,WJUg
𢋧,,广石石石,WGGg
𢋨,,广黑土,WMJg
𢋩,,广亻隹瓦,WTHg
𢋫,,广羽𠆢貝,WCNg
𢋬,,广木山隹,WITg
𢋭,,广艹禺厶,WHAg
𢋮,xian4,广木木⺝攵,WIPg
𢋯,,广禾⺕禾⺕,WRBg
𢋰,,广𠂉卌一木木,WPIg
𢋱,,屮凵{鹿上}丂灬,AAEX
𢋲,,麻宀工八,WWTm
𢋳,,广卄一灬亠人人十,WHEg
𢋴,,卄一儿冖巾广{卬左}七丶,HGFW
𢋵,,{鹿上}艹囗禾,WHRl
𢋶,,广尸口辛子,WDBg
𢋷,,广木口⺈貝,WINg
𢋸,,广丬匕田龷八,WXTg
𢋹,wu2,广止止木木,WLIg
𢋺,,{鹿上}乂{𠂭无乂}凵匕又,WTDl
𢋻,yin3,广僉攵,WUPg
𢋼,xi1,广虍一口䒑戈,WLFg
𢋽,,广虍田夕阝,WLBg
𢋾,,广土人人人人囗口,WJOg
𢋿,zhai1,广亠丷⼁刀{卬左}⼂{介下}示,WYFg
𢌀,xie4,广土䒑十九丶衣,WJWg
𢌁,,麻非一,WLGm
𢌂,,广日丆日日夊,WKVg
𢌃,,广僉欠,WUQg
𢌄,qu2,广目目隹,WNTg
𢌅,,广黑土阝,WMBg
𢌆,,广日十虫虫,WKLg
𢌇,,{鹿上}丂灬氵土厶,WEAl
𢌈,li2,广文凵冂厶隹,WYTg
𢌉,,广𦥑丆目八夊,WUVg
𢌊,,广龷由八王廾,WHHg
𢌋,,广大卄一木卄一木,WFIg
𢌌,,王廾广龷由八,EHKT
𢌍,qian1,广䒑⺕〢八䒑⺕〢八,WXTg
𢌎,,广艹䶹尸コ辛子,WHBg
𢌏,,广⺌冂口巴隹,WNTg
𢌐,,广木口攵非一,WIGg
𢌑,,麻非木,WLIm
𢌒,,广一冂人一冂人鹿,WGWg
𢌓,,广亠口囗口䒑十口巴,WYDg
𢌔,ling2,广雨口口口工人人,WJUg
𢌕,luan2,广言糹糸丱,WYAg
𢌖,,广工耳壬十罒一心,WIRg
𢌗,,十廴,EBd
𢌘,,彡廴,SBds
𢌙,,千廴,RBdq
𢌚,chan1,山廴,MBd
𢌛,,一止廴,GLBd
𢌜,,龵廴,RBds
𢌝,,𠆢彡廴,USBd
𢌞,,冂巳廴,MDBd
𢌟,,羽廴,CBdy
𢌠,,甫廴,EBdf
𢌡,,冂丷口廴,MXOB
𢌢,,夂丰廴,VIBd
𢌣,,亻𠂉{乍下}廴,TPLB
𢌦,zheng4,壬攵廴,RPBr
𢌧,,止日廴,LKBz
𢌨,yan2,止目廴,LNBz
𢌩,,覀土廴,EJBx
𢌪,,日一止廴,KGLB
𢌫,,一止目廴,GLNB
𢌭,,廾丶,HWu
𢌮,,亠廾,YHv
𢌯,,𠆢廾,UHv
𢌱,,丂一廾,EGHk
𢌲,yin4,山廾,MHv
𢌳,kui2,{炙上}廾,SHv
𢌴,,巳巳廾,DDHs
𢌵,,戈廾,FHvg
𢌶,,木廾,IHv
𢌷,qu1,冂人廾,MUHv
𢌸,,亠八廾,YTHv
𢌹,fu2,厶厶廾,AAHi
𢌺,,冂人廾,MUHv
𢌼,,乛水廾,BAHv
𢌽,,卅卅,HHv
𢌾,,大丷廾,FXHd
𢌿,,田廾,KHvt
𢍀,,尸コ廾,DDHv
𢍁,bi4,由廾,KHvy
𢍁,qi2,由廾,KHvy
𢍂,,自廾,THvz
𢍃,,夭十廾,REHy
𢍄,,{囟框}㐅廾,UTHv
𢍅,,⺈冂人廾,QMUH
𢍆,qi4,丰刀廾,IDHf
𢍆,qie4,丰刀廾,IDHf
𢍇,ji4,土巳廾,JDHv
𢍈,yuan1,歹匕廾,GVHd
𢍈,zang4,歹匕廾,GVHd
𢍉,,𰃦土廾,UJHv
𢍊,,丷夫廾,XJHv
𢍋,,丷日廾,XKHv
𢍍,,{囟框}{两撇}⼂廾,USWH
𢍎,gao4,𠂒口廾,POHv
𢍏,juan4,㇒米廾,PXHv
𢍐,,一{亞中}廾,GNHv
𢍑,qi2,亻白廾,TUHv
𢍓,gai3,亠目廾,YNHv
𢍔,,冖八日廾,QTKH
𢍕,quan4,丷夫㔾廾,XJBH
𢍖,,{介下}一由廾,TGKH
𢍗,,歹攵廾,GPHd
𢍙,,{囟框}㐅㐅廾,UTTH
𢍚,wei4,十冖田廾,EQKH
𢍛,,未攵廾,IPHw
𢍝,,{互中}豕廾,CGHv
𢍞,,二厶田廾,EAHe
𢍟,,⺕工口廾,BIOH
𢍠,,土土九丶廾,JJWH
𢍡,,氵人一口廾,ZUOH
𢍢,,𰃦㇒米廾,UPXH
𢍣,,龶糸廾,EAHv
𢍤,,大丷电廾,FXHd
𢍥,,䒑䶹月廾,XASH
𢍦,,一𠆢𠆢口口廾,GUOH
𢍧,zhi4,罒衣廾,MWHw
𢍨,,米土厶廾,XJHm
𢍩,,人人囗人人廾,UUUH
𢍪,,{炙上}一口䒑廾,SGXH
𢍫,jian3,木尸尸一廾,IDGH
𢍬,,口凵口日廾,OAKH
𢍭,si4,{雋下}一厶廾厶廾,MGAH
𢍮,,工人人口口廾,IUHg
𢍯,,𦥑冂一口廾,UMOH
𢍰,yi4,罒土䒑十廾,MJHw
𢍰,ze2,罒土䒑十廾,MJHw
𢍱,qian1,𦥑{囟框}㐅廾,UUTH
𢍲,,𦥑酉廾,UEHv
𢍳,,丆目丆目廾,GNNH
𢍵,,龶糸糸廾,EAAH
𢍶,,言糹糸廾,YAAH
𢍷,,止止厂禾禾日廾,LLHz
𢍸,,魚艹勹口攵廾,QHPH
𢍹,,𦥑{囟框}㐅𦥑{囟框}㐅廾,UUTH
𢍺,,七丶,FWuq
𢍻,,弋㇉,FCui
𢍼,li4,一弋,GFi
𢍽,,𠂇乚弋,HCFi
𢍾,,弋一匕,FGVi
𢍿,zang1,爿弋,AFip
𢎀,yi4,弋⺝,FSvi
𢎁,,一戈人𠃊,GFUC
𢎂,cai2,弋人人,FUUi
𢎃,yi4,弋日,FKvi
𢎄,ge1,丁口弋,EOFd
𢎅,,弋勹口,FSOi
𢎆,die2,弋至,FFzi
𢎈,zhi1,弋一目,FGNi
𢎉,yi4,弋𠂉丨𠂉亅,FPBi
𢎊,,又木弋,DIFo
𢎋,zai1,木口弋,IOFi
𢎌,dai4,卄二亻弋,HETF
𢎍,,⺈彐弋工,QBFI
𢎎,su4,厶⺝弋工,ASIi
𢎏,,弋二一巾入入,FEVi
𢎑,,弋田龷八,FKTi
𢎒,,丷𫩏丷日弋,XKKF
𢎓,,⺈彐攵灬弋,QBXF
𢎔,jie2,一戈止日勹人𠃊,GFUC
𢎕,chen4,齒弋,LFic
𢎖,qu2,目目隹弋,NNTF
𢎘,han4,𠃌㇉,BCu
𢎙,xian2,𠃌㇉𠃌㇉,BCBC
𢎚,,弓丶,DWug
𢎛,,弓丶,DWug
𢎞,,弓𠃋,DCug
𢎟,,弓丨,DKug
𢎠,juan4,弓丨,DKug
𢎠,quan2,弓丨,DKug
𢎡,jie2,弓乀,DWug
𢎢,,弓人,DUug
𢎤,,弓又,DDog
𢎥,juan4,弓二,DEeg
𢎦,,𠆢弓,UDg
𢎨,,弓丨㇒,DKPg
𢎩,,弓九,DRjg
𢎪,dan4,弓几,DQjg
𢎫,,弓九丶,DRWg
𢎬,,弓八丶,DTWg
𢎭,jin1,弓巾,DMjg
𢎮,,弓人一,DUGg
𢎰,,弓二㇉,DECg
𢎲,,弓八一,DTGg
𢎳,,弓土,DJvg
𢎴,bing1,弓大,DFdg
𢎶,,弓人一,DUGg
𢎷,,弓方,DYug
𢎸,,弓二{互中},DECg
𢎹,jue2,弓𠃍大,DBFg
