char,pinyin,division,code
仱,qian2,亻𠆢丶乛,TUWB
仲,zhong4,亻口丨,TOKu
仳,pi3,亻比,TVb
仴,wo4,亻月,TSv
仵,wu3,亻𠂉十,TPEu
件,jian4,亻牛,TPn
价,jie4,亻人{介下},TUTu
仸,fo2,亻夭,TRy
仸,yao3,亻夭,TRy
仹,feng1,亻丰,TIf
仺,cang1,𠆢匚一,UFGu
任,ren2,亻壬,TRr
任,ren4,亻壬,TRr
仼,wang2,亻王,TEv
份,fen4,亻八刀,TTDd
仾,di1,亻二{互中},TECu
仿,fang3,亻方,TYu
伀,zhong1,亻八厶,TTAi
企,qi3,𠆢止,ULz
企,qi4,𠆢止,ULz
伂,pei4,亻一巾,TGMj
伃,xu4,亻予,TBy
伃,yu2,亻予,TBy
伃,yu3,亻予,TBy
伄,diao4,亻弓丨,TDKu
伅,dun4,亻七凵,TFAu
伆,wu4,亻⼓{两撇},TSSu
伇,yi4,亻殳,TQs
伈,xin3,亻心,TRx
伉,kang4,亻亠几,TYQj
伊,yi1,亻⺕丿,TBPu
伋,ji2,亻乃⼂,TAWu
伌,ai4,亻厂㔾,TGBu
伍,wu3,亻一{五下},TGDu
伎,ji4,亻十又,TEDo
伏,fu2,亻犬,TJq
伐,fa2,亻戈,TFg
休,xiu1,亻木,TIv
伒,jin4,亻𠂆丅,TRJu
伒,yin2,亻𠂆丅,TRJu
伓,pi1,亻不,TGb
伔,dan3,亻冖几,TQQj
伕,fu1,亻夫,TJf
伖,tang3,亻𠂇又,THDo
众,yin2,人人人,UUUu
众,zhong4,人人人,UUUu
优,you1,亻尤,TJo
优,you2,亻尤,TJo
伙,huo3,亻火,TXv
会,hui4,人二厶,UEAi
伛,yu3,亻匚㐅,TFTi
伜,cui4,亻九十,TREu
伝,chuan2,亻二厶,TEAi
伝,yun2,亻二厶,TEAi
伞,san3,𠆢丷十,UXEu
伟,wei3,亻キ𠃌,TFBu
传,chuan2,亻二㇉丶,TECW
伡,che1,亻车,TFc
伢,ya2,亻牙,TFy
伣,xian4,亻冂儿,TMVe
伤,shang1,亻𠂉力,TPCl
伥,chang1,亻长,TPc
伦,lun2,亻𠆢匕,TUVi
伧,cang1,亻𠆢㔾,TUBu
伨,xun4,亻勹冫,TSXs
伩,xin4,亻文,TYw
伪,wei3,亻⺀力,TZCl
伫,zhu4,亻宀一,TWGu
伬,,亻尸㇏,TDWu
伭,xian2,亻亠幺,TYAy
伮,nu3,亻女又,TCDo
伯,bo2,亻白,TUb
估,gu1,亻古,TJg
估,gu4,亻古,TJg
伱,ni3,亻𠆢小,TUCx
伲,ni3,亻尸匕,TDVi
伲,ni4,亻尸匕,TDVi
伳,xie4,亻世,THs
伴,ban4,亻丷キ,TXFu
伵,xu4,亻囗儿,TNVe
伶,ling2,亻𠆢丶龴,TUWD
伷,zhou4,亻由,TKy
伸,shen1,亻申,TKs
伹,qu1,亻且,TNq
伹,zu4,亻且,TNq
伺,ci4,亻𠃌一口,TBGO
伺,si4,亻𠃌一口,TBGO
伻,beng1,亻干丷,TEXu
似,si4,亻厶人,TAUu
伽,jia1,亻力口,TCOv
伾,pi1,亻不一,TGGu
伿,yi4,亻口八,TOTu
佀,si4,亻尸コ,TDDu
佁,ai3,亻厶口,TAOv
佁,chi4,亻厶口,TAOv
佁,si4,亻厶口,TAOv
佁,yi3,亻厶口,TAOv
佂,zheng1,亻一止,TGLz
佃,dian4,亻田,TKt
佄,gan4,亻卄二,THEe
佄,han1,亻卄二,THEe
佅,mai4,亻未,TIw
但,dan4,亻日一,TKGu
佇,zhu4,亻宀丁,TWEd
佈,bu4,亻𠂇巾,THMj
佉,qu1,亻土厶,TJAi
佊,bi3,亻皮,TDp
佋,shao2,亻刀口,TDOv
佋,shao4,亻刀口,TDOv
佋,zhao1,亻刀口,TDOv
佌,ci3,亻止匕,TLVi
位,wei4,亻立,TYl
低,di1,亻{卬左}七丶,TVFW
住,zhu4,亻丶王,TWEv
佐,zuo3,亻𠂇工,THIg
佑,you4,亻𠂇口,THOv
佒,yang1,亻冂大,TMFd
佒,yang3,亻冂大,TMFd
体,ben4,亻木一,TIGu
佔,zhan4,亻⺊口,TLOv
何,he2,亻丁口,TEOv
佖,bi4,亻心㇒,TRPu
佗,tuo2,亻宀匕,TWVi
佘,she2,𠆢示,UFs
余,yu2,𠆢一朩,UGIu
佚,yi4,亻㇒夫,TPJf
佛,fo2,亻弓{介下},TDTu
