俤	〔亻丷弓丨㇒・TXKP・GBK〕
俥	〔亻車・TJc・GBK〕
俦	〔亻丰寸・TIIc・GB2312〕
俧	〔亻士心・TJRx・GBK〕
俨	〔亻丌䒑⼃・THXP・GB2312〕
俩	〔亻一冂人人・TGUU・GB2312〕
俪	〔亻一冂⺀冂・TGZM・GB2312〕
俫	〔亻一米・TGXm・GBK〕
俬	〔亻禾厶・TRAi・GBK〕
俭	〔亻人二⺍・TUEZ・GB2312〕
修	〔亻丨夂彡・TKVS・GB2312〕
俯	〔亻广亻寸・TWTI・GB2312〕
俰	〔亻禾口・TROv・GBK〕
俱	〔亻{具上}八・TNTu・GB2312〕
俲	〔亻亠父力・TYTC・GBK〕
俳	〔亻非・TLf・GB2312〕
俴	〔亻戈戈・TFFg・GBK〕
俵	〔亻龶𧘇・TERu・GBK〕
俶	〔亻上小又・TLCD・GBK〕
俷	〔亻月巴・TSDb・GBK〕
俸	〔亻三人キ・TIUF・GB2312〕
俹	〔亻一{亞下}・TGNu・GBK〕
俺	〔亻大电・TFKd・GB2312〕
俻	〔亻夂田・TVKt・GBK〕
俼	〔亻亠厶⺝・TYAS・GBK〕
俽	〔亻𠂆丅欠・TRJQ・GBK〕
俾	〔亻白千・TURq・GB2312〕
俿	〔亻虍几・TLQj・GBK〕
倀	〔亻長・TEz・GBK〕
倁	〔亻矢口・TPOv・GBK〕
倂	〔亻㇒干㇒干・TPPE・GBK〕
倃	〔亻夂卜口・TVLO・GBK〕
倄	〔亻㐅𠂇⺝・TTHS・GBK〕
倅	〔亻亠人人十・TYUE・GBK〕
倆	〔亻一巾入入・TGVV・GBK〕
倇	〔亻宀夕㔾・TWQB・GBK〕
倈	〔亻來・TIl・GBK〕
倉	〔𠆢丶⺕丿口・UWPO・GBK〕
倊	〔亻八厶心・TTAR・GBK〕
個	〔亻囗古・TNJg・GBK〕
倌	〔亻宀尸コ・TWDD・GB2312〕
倍	〔亻立口・TYOv・GB2312〕
倎	〔亻冂龷八・TMHT・GBK〕
倏	〔亻丨夂犬・TKVJ・GB2312〕
倐	〔亻丨夂火・TKVX・GBK〕
們	〔亻門・TNm・GBK〕
倒	〔亻至刂・TFLd・GB2312〕
倓	〔亻火火・TXXv・GBK〕
倔	〔亻尸屮凵・TDAA・GB2312〕
倕	〔亻壬龷・TRHu・GBK〕
倖	〔亻土䒑十・TJXE・GBK〕
倗	〔亻月月・TSSv・GBK〕
倘	〔亻⺌冂口・TNMO・GB2312〕
候	〔亻丨コ矢・TKDP・GB2312〕
倚	〔亻大丁口・TFEO・GB2312〕
倛	〔亻其・THq・GBK〕
倜	〔亻⺆土口・TSJO・GB2312〕
倝	〔十早人・EKUu・GBK〕
倞	〔亻亠口小・TYOC・GBK〕
借	〔亻龷日・THKv・GB2312〕
倠	〔亻隹・TTw・GBK〕
倡	〔亻日曰・TKKu・GB2312〕
倢	〔亻一⺕龰・TGBL・GBK〕
倣	〔亻方攵・TYPp・GBK〕
値	〔亻十目𠃊・TENC・GBK〕
倥	〔亻穴工・TWIg・GB2312〕
倦	〔亻丷夫㔾・TXJB・GB2312〕
倧	〔亻宀示・TWFs・GBK〕
倨	〔亻尸古・TDJg・GB2312〕
倩	〔亻龶⺝・TESv・GB2312〕
倪	〔亻臼儿・TUVe・GB2312〕
倫	〔亻人一𠕁・TUGM・GBK〕
倬	〔亻⺊早・TLKz・GB2312〕
倭	〔亻禾女・TRCv・GB2312〕
倮	〔亻日木・TKIv・GB2312〕
倯	〔亻木八厶・TITA・GBK〕
倰	〔亻土八夊・TJTV・GBK〕
倱	〔亻日比・TKVb・GBK〕
倲	〔亻木日・TIKv・GBK〕
