一	〔一・Gu〕
叱	〔口𠤎・OVi〕
史	〔口乂・OTi〕
右	〔𠂇口・HOv〕
叵	〔匚口・FOvf〕
叶	〔口十・OEu〕
号	〔口丂・OEk〕
司	〔𠃌一口・BGOv〕
叹	〔口又・ODo〕
叻	〔口力・OCl〕
叼	〔口𠃌㇀・OBGu〕
叽	〔口几・OQj〕
吁	〔口一{于下}・OGIu〕
吃	〔口𠂉乙・OPBi〕
各	〔夂口・VOv〕
吆	〔口幺・OAy〕
合	〔人一口・UGOv〕
吉	〔士口・JOv〕
吊	〔口巾・OMj〕
同	〔冂一口・MGOv〕
名	〔夕口・QOvx〕
后	〔𠂆一口・RGOv〕
吏	〔一口乂・GOTi〕
吐	〔口土・OJv〕
向	〔𰃦口・UOv〕
吒	〔口㇒七・OPFq〕
吓	〔口丅丶・OJWu〕
吕	〔口口・OOv〕
吖	〔口丷丨・OXKu〕
吗	〔口马・OAm〕
君	〔⺕丿口・BPOv〕
吝	〔文口・YOvw〕
吞	〔一大口・GFOv〕
吟	〔口𠆢丶乛・OUWB〕
吠	〔口犬・OJq〕
吡	〔口比・OVb〕
吣	〔口心・ORx〕
否	〔不口・GOvb〕
吧	〔口巴・ODb〕
吨	〔口七凵・OFAu〕
吩	〔口八刀・OTDd〕
含	〔𠆢丶乛口・UWBO〕
听	〔口𠂆丅・ORJu〕
吭	〔口亠几・OYQj〕
吮	〔口厶儿・OAVe〕
启	〔户口・ZOvh〕
吱	〔口十又・OEDo〕
吲	〔口弓丨・ODKu〕
吴	〔口一大・OGFd〕
吵	〔口𡭔㇒・OCPu〕
吸	〔口乃⼂・OAWu〕
吹	〔口欠・OQq〕
吻	〔口⼓{两撇}・OSSu〕
吼	〔口子乚・OBCu〕
吾	〔一{五下}口・GDOv〕
呀	〔口牙・OFy〕
呃	〔口厂㔾・OGBu〕
呆	〔口木・OIv〕
呈	〔口王・OEv〕
告	〔𠂒口・POv〕
呋	〔口夫・OJf〕
呐	〔口冂人・OMUu〕
呒	〔口干乚・OECu〕
呓	〔口艹乙・OHBi〕
呔	〔口大丶・OFWu〕
呕	〔口匚㐅・OFTi〕
呖	〔口厂力・OGCl〕
呗	〔口贝・OMb〕
员	〔口贝・OMb〕
呙	〔口冂人・OMUu〕
呛	〔口𠆢㔾・OUBu〕
呜	〔口乌・OSw〕
呢	〔口尸匕・ODVi〕
呤	〔口𠆢丶龴・OUWD〕
呦	〔口幺力・OACl〕
周	〔⺆土口・SJOv〕
呱	〔口瓜・ORg〕
呲	〔口止匕・OLVi〕
味	〔口未・OIw〕
呵	〔口丁口・OEOv〕
呶	〔口女又・OCDo〕
呷	〔口甲・OKj〕
呸	〔口不一・OGGu〕
呻	〔口申・OKs〕
呼	〔口⼃丷{于下}・OPXI〕
命	〔人一口卩・UGOA〕
咀	〔口且・ONq〕
咂	〔口匚巾・OFMj〕
咄	〔口屮凵・OAAu〕
咆	〔口勹巳・OSDs〕
咋	〔口𠂉{乍下}・OPLu〕
和	〔禾口・ROv〕
咎	〔夂卜口・VLOv〕
咏	〔口丶水・OWAs〕
咐	〔口亻寸・OTIc〕
咒	〔口口几・OOQj〕
咔	〔口上卜・OLLb〕
咕	〔口古・OJg〕
咖	〔口力口・OCOv〕
咙	〔口尤⼃・OJPu〕
咚	〔口夂⺀・OVZu〕
咛	〔口宀丁・OWEd〕
咝	〔口{纟上}纟・OCCj〕
咣	〔口⺌兀・ONGw〕
咤	〔口宀㇒七・OWPF〕
咦	〔口大弓・OFDg〕
咧	〔口歹刂・OGLd〕
咨	〔冫欠口・XQOs〕
咩	〔口羊・OXy〕
咪	〔口米・OXm〕
咫	〔尸㇏口八・DWOT〕
咬	〔口亠八乂・OYTT〕
咭	〔口士口・OJOv〕
咯	〔口夂口・OVOv〕
咱	〔口自・OTz〕
咳	〔口亥・OYh〕
咴	〔口𠂇火・OHXv〕
咸	〔戊一口・FGOw〕
咻	〔口亻木・OTIv〕
咽	〔口囗大・ONFd〕
咿	〔口亻⺕丿・OTBP〕
哀	〔衣口・WOvy〕
品	〔口口口・OOOv〕
哂	〔口西・OEx〕
哄	〔口龷八・OHTu〕
哆	〔口夕夕・OQQx〕
哇	〔口土土・OJJv〕
哈	〔口人一口・OUGO〕
哉	〔十戈口・EFOv〕
哌	〔口𠂆{𠂢下}・ORRu〕
响	〔口𰃦口・OUOv〕
哎	〔口艹乂・OHTi〕
哏	〔口艮・OBg〕
哐	〔口匚王・OFEv〕
哑	〔口丌䒑・OHXu〕
哒	〔口大辶・OFZd〕
哓	〔口七㇒兀・OFPG〕
哔	〔口比十・OVEu〕
哕	〔口山夕・OMQx〕
哗	〔口亻𠤎十・OTVE〕
哙	〔口人二厶・OUEA〕
哚	〔口𠘧木・OQIv〕
哜	〔口文{介下}・OYTu〕
哝	〔口冖𧘇・OQRu〕
哞	〔口厶牛・OAPn〕
哟	〔口纟勹丶・OCSW〕
哥	〔丁口丁口・EOOd〕
哦	〔口㇒扌戈・OPFF〕
哧	〔口土{介下}八・OJTT〕
哨	〔口⺌⺝・ONSv〕
哩	〔口甲二・OKEe〕
哪	〔口刀二阝・ODEB〕
哭	〔口口犬・OOJq〕
哮	〔口耂子・OJBz〕
